Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
AC,graphene,h2so4,1.0,1315.0,0.886,0.5,0.435,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,240.0,1,0,3,4,9
AC,graphene,h2so4,1.0,783.0,0.608,0.7,0.244,0.0,0.0,0.0,10.7,0.0,0.9,0.0,0.0,150.0,1,0,3,4,9
AC,graphene,h2so4,1.0,1083.0,0.87,0.7,0.317,0.0,0.0,0.0,11.7,0.0,0.8,0.0,0.0,190.0,1,0,3,4,9
AC,graphene,h2so4,1.0,1162.0,0.868,0.7,0.369,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,210.0,1,0,3,4,9
graphene,none,h2so4,0.8,682.0,0.72,4.0,0.0,0.0,1.62,0.0,10.75,0.0,0.0,0.0,0.0,100.0,0,1,32,5,9
graphene,none,h2so4,0.8,1383.0,1.2,1.0,0.0,0.0,1.3,0.0,9.0,0.0,0.0,0.0,0.0,160.0,0,1,32,5,9
porous carbon,none,teabf4,2.0,754.0,0.4,0.0,0.147,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,38.0,0,0,36,5,23
porous carbon,none,teabf4,2.0,364.0,0.195,0.0,0.047,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,20.0,0,0,36,5,23
porous carbon,none,h2so4,1.0,1180.0,1.56,7.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0,0,36,5,9
graphene,cnt,koh,0.8,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1,0,32,2,14
porous carbon,none,koh,0.7,592.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0,0,36,5,14
porous carbon,none,koh,0.7,996.0,1.1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0,0,36,5,14
porous carbon,none,koh,0.7,1097.0,1.25,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0,0,36,5,14
porous carbon,none,koh,0.7,1269.0,1.25,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0,0,36,5,14
porous carbon,none,na2so4,1.0,1130.0,2.188,3.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0,0,36,5,19
N-doped carbon,none,koh,1.2,1578.0,1.092,0.0,0.0,1133.0,0.0,0.68,16.4,0.0,0.0,0.0,0.0,310.0,0,0,13,5,14
N-doped carbon,none,h2so4,1.0,1578.0,1.092,0.0,0.0,1133.0,0.0,0.68,16.4,0.0,0.0,0.0,0.0,305.0,0,0,13,5,9
porous carbon,none,h2so4,1.0,345.8,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0,1,36,5,9
porous carbon,none,h2so4,1.0,379.9,0.513,0.0,0.0,0.0,1.15,1.53,3.1,0.0,0.0,0.0,0.0,227.0,0,1,36,5,9
porous carbon,none,h2so4,1.0,1332.4,0.77,0.0,0.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0,1,36,5,9
porous carbon,none,h2so4,1.0,1957.0,1.5,0.0,0.0,687.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0,1,36,5,9
porous carbon,none,h2so4,1.0,2005.9,1.6,0.55,0.0,1104.3,1.12,0.1,6.27,0.0,0.0,0.0,0.0,319.0,0,1,36,5,9
porous carbon,none,emimbf4,3.5,1332.4,0.77,0.0,0.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,0,1,36,5,4
porous carbon,none,emimbf4,3.5,1957.0,1.5,0.0,0.0,687.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0,1,36,5,4
porous carbon,none,emimbf4,3.5,2005.9,1.6,0.55,0.0,1104.3,1.12,0.1,6.27,0.0,0.0,0.0,0.0,140.0,0,1,36,5,4
porous carbon,none,koh,1.0,1427.7,5.91,0.568,0.223,510.4,0.0,3.73,4.07,0.0,0.0,0.0,0.0,378.5,0,0,36,5,14
porous carbon,none,koh,1.0,1036.6,4.76,0.563,0.12,268.8,0.0,1.8,4.37,0.0,0.0,0.0,0.0,263.4,0,0,36,5,14
